dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.055,2000-03-13,2000-03-15,2000-04-01,regular,USD
0.05,1999-12-13,1999-12-15,2000-01-01,regular,USD
0.05,1999-09-13,1999-09-15,1999-10-01,regular,USD
0.05,1999-06-11,1999-06-15,1999-07-01,regular,USD
0.05,1999-03-11,1999-03-15,1999-04-01,regular,USD
0.05,1998-12-11,1998-12-15,1999-01-01,regular,USD
0.045,1998-09-11,1998-09-15,1998-10-01,regular,USD
0.045,1998-06-11,1998-06-15,1998-07-01,regular,USD
0.045,1998-03-12,1998-03-16,1998-04-01,regular,USD
0.045,1997-12-11,1997-12-15,1998-01-01,regular,USD
0.045,1997-09-11,1997-09-15,1997-10-01,regular,USD
0.035,1997-06-12,1997-06-16,1997-07-01,regular,USD
0.035,1997-03-06,1997-03-10,1997-04-01,regular,USD
0.035,1996-12-12,1996-12-16,1997-01-01,regular,USD
0.035,1996-09-12,1996-09-16,1996-10-01,regular,USD
0.0275,1996-06-12,1996-06-14,1996-07-01,regular,USD
0.0275,1996-03-06,1996-03-08,1996-04-01,regular,USD
0.0275,1995-12-13,1995-12-15,1996-01-01,regular,USD
0.0275,1995-09-13,1995-09-15,1995-10-01,regular,USD
0.025,1995-06-13,1995-06-15,1995-07-01,regular,USD
0.025,1995-03-09,1995-03-15,1995-04-01,regular,USD
0.025,1994-12-09,1994-12-15,1995-01-01,regular,USD
0.025,1994-09-09,1994-09-15,1994-10-01,regular,USD
0.025,1994-06-09,1994-06-15,1994-07-01,regular,USD
0.025,1994-03-17,1994-03-23,1994-04-01,regular,USD
