date,lot_cost,lot_div,div_total
3/9/20,91.68,4.04,27.83
3/6/20,91.71,4.04,27.83
2/28/20,90.07,4.04,27.83
2/28/20,88.9084,4.04,27.83
2/25/20,98.85,4.04,27.83
5/13/19,98.8047,3.84,31.72
