dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.19,1999-11-08,1999-11-10,1999-12-10,regular,USD
0.19,1999-08-06,1999-08-10,1999-09-10,regular,USD
0.19,1999-05-06,1999-05-10,1999-06-11,regular,USD
0.19,1999-02-11,1999-02-16,1999-03-12,regular,USD
0.18,1998-11-06,1998-11-10,1998-12-11,regular,USD
0.18,1998-08-06,1998-08-10,1998-09-11,regular,USD
0.18,1998-05-07,1998-05-11,1998-06-12,regular,USD
0.17,1998-02-12,1998-02-17,1998-03-12,regular,USD
0.17,1997-11-06,1997-11-10,1997-12-12,regular,USD
0.165,1997-08-07,1997-08-11,1997-09-12,regular,USD
0.165,1997-05-08,1997-05-12,1997-06-12,regular,USD
0.165,1997-02-13,1997-02-18,1997-03-12,regular,USD
0.16,1996-11-08,1996-11-12,1996-12-12,regular,USD
0.16,1996-08-08,1996-08-12,1996-09-12,regular,USD
0.16,1996-05-08,1996-05-10,1996-06-12,regular,USD
0.15,1996-02-15,1996-02-20,1996-03-12,regular,USD
0.15,1995-11-08,1995-11-10,1995-12-12,regular,USD
0.15,1995-08-08,1995-08-10,1995-09-12,regular,USD
0.145,1995-05-04,1995-05-10,1995-06-12,regular,USD
0.145,1995-02-14,1995-02-21,1995-03-10,regular,USD
0.145,1994-11-04,1994-11-10,1994-12-12,regular,USD
0.14,1994-08-04,1994-08-10,1994-09-12,regular,USD
0.14,1994-05-04,1994-05-10,1994-06-10,regular,USD
0.135,1994-02-15,1994-02-22,1994-03-11,regular,USD
0.135,1993-11-04,1993-11-10,1993-12-10,regular,USD
0.135,1993-08-04,1993-08-10,1993-09-10,regular,USD
0.125,1993-05-04,1993-05-10,1993-06-11,regular,USD
0.125,1993-02-09,1993-02-16,1993-03-12,regular,USD
0.125,1992-11-04,1992-11-10,1992-12-11,regular,USD
0.115,1992-08-04,1992-08-10,1992-09-11,regular,USD
0.115,1992-05-05,1992-05-11,1992-06-12,regular,USD
0.115,1992-02-11,1992-02-18,1992-03-12,regular,USD
0.115,1991-11-05,1991-11-12,1991-12-12,regular,USD
0.105,1991-08-06,1991-08-12,1991-09-12,regular,USD
0.105,1991-05-06,1991-05-10,1991-06-12,regular,USD
0.105,1991-02-12,1991-02-19,1991-03-12,regular,USD
0.105,1990-11-05,1990-11-09,1990-12-12,regular,USD
0.105,1990-08-06,1990-08-10,1990-09-12,regular,USD
0.105,1990-05-04,1990-05-10,1990-06-12,regular,USD
0.095,1990-02-13,1990-02-20,1990-03-12,regular,USD
0.095,1989-11-06,1989-11-10,1989-12-12,regular,USD
0.095,1989-08-04,1989-08-10,1989-09-12,regular,USD
0.095,1989-05-04,1989-05-10,1989-06-12,regular,USD
0.085,1989-02-14,1989-02-21,1989-03-10,regular,USD
