date,lot_cost,lot_div,div_total
2/6/25,145.4584,5.44,0
1/16/25,145.8352,5.44,0
2/26/21,130.72,4.08,20.4
6/15/20,128.06,4.08,22.45
6/11/20,130.13,4.08,22.45
6/3/20,133.2068,3.84,23.47
