ExDate,Dividend,RecordDate,PayDate,DividendType,Currency
2024-08-26,1.34,2024-08-26,2024-09-03,Cash Div.,USD
2024-06-03,1.34,2024-06-03,2024-06-10,Cash Div.,USD
2024-03-01,1.25,2024-03-04,2024-03-11,Cash Div.,USD
2023-11-24,1.25,2023-11-27,2023-12-04,Cash Div.,USD
2023-08-25,1.25,2023-08-28,2023-09-05,Cash Div.,USD
2023-05-26,1.25,2023-05-30,2023-06-06,Cash Div.,USD
2023-03-03,1.19,2023-03-06,2023-03-13,Cash Div.,USD
2022-11-25,1.19,2022-11-28,2022-12-05,Cash Div.,USD
2022-08-26,1.19,2022-08-29,2022-09-06,Cash Div.,USD
2022-06-03,5.2,2022-06-06,2022-06-13,Special Div.,USD
2022-06-03,1.19,2022-06-06,2022-06-13,Cash Div.,USD
2022-03-04,1.13,2022-03-07,2022-03-14,Cash Div.,USD
2021-11-26,1.13,2021-11-29,2021-12-06,Cash Div.,USD
2021-08-27,1.13,2021-08-30,2021-09-07,Cash Div.,USD
2021-06-04,1.13,2021-06-07,2021-06-14,Cash Div.,USD
2021-03-05,1.05,2021-03-08,2021-03-15,Cash Div.,USD
2020-11-27,1.05,2020-11-30,2020-12-07,Cash Div.,USD
2020-08-28,1.05,2020-08-31,2020-09-08,Cash Div.,USD
2020-06-05,1.05,2020-06-08,2020-06-15,Cash Div.,USD
2020-02-28,1.05,2020-03-02,2020-03-09,Cash Div.,USD
2019-11-29,1.05,2019-12-02,2019-12-09,Cash Div.,USD
2019-09-03,1.05,2019-09-04,2019-09-11,Cash Div.,USD
2019-06-07,1.05,2019-06-10,2019-06-17,Cash Div.,USD
2019-03-01,1.0,2019-03-04,2019-03-11,Cash Div.,USD
2018-12-07,1.0,2018-12-10,2018-12-17,Cash Div.,USD
2018-09-04,1.0,2018-09-05,2018-09-12,Cash Div.,USD
2018-06-08,1.0,2018-06-11,2018-06-18,Cash Div.,USD
2018-03-02,1.0,2018-03-05,2018-03-12,Cash Div.,USD
2017-12-04,0.9,2017-12-05,2017-12-12,Cash Div.,USD
2017-09-01,0.9,2017-09-06,2017-09-13,Cash Div.,USD
2017-06-01,0.9,2017-06-05,2017-06-12,Cash Div.,USD
2017-03-02,0.85,2017-03-06,2017-03-13,Cash Div.,USD
2016-11-25,0.85,2016-11-29,2016-12-13,Cash Div.,USD
2016-08-12,0.85,2016-08-16,2016-09-06,Cash Div.,USD
2016-05-20,0.85,2016-05-24,2016-06-07,Cash Div.,USD
2016-02-25,0.78,2016-02-29,2016-03-14,Cash Div.,USD
2015-11-19,0.78,2015-11-23,2015-12-07,Cash Div.,USD
2015-08-21,0.78,2015-08-25,2015-09-08,Cash Div.,USD
2015-05-28,0.78,2015-06-01,2015-06-15,Cash Div.,USD
2015-02-26,0.7,2015-03-02,2015-03-16,Cash Div.,USD
2014-11-20,0.7,2014-11-24,2014-12-08,Cash Div.,USD
2014-08-21,0.7,2014-08-25,2014-09-08,Cash Div.,USD
2014-04-24,0.7,2014-04-28,2014-05-12,Cash Div.,USD
2014-02-27,0.6,2014-03-03,2014-03-17,Cash Div.,USD
2013-11-21,0.6,2013-11-25,2013-12-09,Cash Div.,USD
2013-09-19,0.5,2013-09-23,2013-10-07,Cash Div.,USD
2013-05-30,0.5,2013-06-03,2013-06-24,Cash Div.,USD
2013-02-21,0.4,2013-02-25,2013-03-18,Cash Div.,USD
2012-11-15,0.4,2012-11-19,2012-12-11,Cash Div.,USD
2012-11-15,2.75,2012-11-19,2012-12-11,Special Div.,USD
2012-08-30,0.4,2012-09-04,2012-09-24,Cash Div.,USD
2012-05-17,0.4,2012-05-21,2012-06-11,Cash Div.,USD
2012-03-08,0.25,2012-03-12,2012-03-30,Cash Div.,USD
2011-11-22,0.25,2011-11-25,2011-12-16,Cash Div.,USD
2011-11-22,4.5,2011-11-25,2011-12-16,Special Div.,USD
2011-08-15,0.2,2011-08-17,2011-09-07,Cash Div.,USD
2011-05-03,0.1,2011-05-05,2011-05-26,Cash Div.,USD
