date,lot_cost,lot_div,div_total
1/16/25,75.84,5.36,0
12/16/24,76,5.36,1.34
11/1/24,86.9088,5.36,1.34
11/1/24,86.98,5.36,1.34
10/31/24,87.03,5.36,1.34
10/31/24,87.0552,5.36,1.34
10/31/24,87.02,5.36,1.34
2/6/24,94.79,5,5.27
2/1/24,94.3,5,5.27
11/13/23,93.89,5,6.52
10/4/23,93.61,5,6.52
9/28/23,94.82,5,6.52
9/22/23,95.365,5,6.52
9/21/23,95.82,5,6.52
8/24/23,97.723,5,6.52
8/21/23,97.899,5,7.77
8/17/23,97.74,5,7.77
8/17/23,97.675,5,7.77
7/18/23,90.894,5,7.77
