date,lot_cost,lot_div,div_total
2/6/25,45.49,2,0.51
12/16/24,52.531,2,0.51
11/15/24,53.16,2,1.01
11/13/24,51.96,2,1.01
8/22/24,59.089,2,2.01
2/20/24,53.4155,2,2.01
2/6/24,53.5565,1.8,2.51
2/6/24,53.996,1.8,2.51
2/1/24,56.59,1.8,2.51
1/30/24,55.7265,1.8,2.51
