date,lot_cost,lot_div,div_total
10/4/23,318.11,2.72,6.02
12/22/22,239.76,2.72,7.38
5/9/22,266.606,2.48,10.98
3/26/20,151.6152,2.04,13.2
10/18/17,77.789,1.56,17.66
