date,lot_cost,lot_div,div_total
10/31/24,46.64,3.76,0.95
12/20/22,37.1,3,7.05
7/14/22,32.19,2.92,9.27
7/6/22,31.34,2.92,9.27
6/29/22,33.18,2.92,9.27
6/27/22,33.19,2.92,9.27
6/23/22,31.58,2.92,9.27
6/17/22,32.33,2.92,9.27
5/12/22,34.6,2.92,9.27
5/11/22,35.51,2.92,9.27
